// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Ponkarthik\Poc\BenchMark\TestBenchMark\TestBenchMark\bin\Release\netcoreapp3.1\98a828a1-d59e-43bc-8059-8178fb887a77
// command took 1.44s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Ponkarthik\Poc\BenchMark\TestBenchMark\TestBenchMark\bin\Release\netcoreapp3.1\98a828a1-d59e-43bc-8059-8178fb887a77
// command took 2.55s and exited with 0
// ***** Done, took 00:00:04 (4.09 sec)   *****
// Found 3 benchmarks:
//   CollectionsAddBenchMark.ListTestInt: DefaultJob
//   CollectionsAddBenchMark.HashSetTestInt: DefaultJob
//   CollectionsAddBenchMark.DictTestInt: DefaultJob

// **************************
// Benchmark: CollectionsAddBenchMark.ListTestInt: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "98a828a1-d59e-43bc-8059-8178fb887a77.dll" --benchmarkName "TestBenchMark.CollectionsAddBenchMark.ListTestInt" --job "Default" --benchmarkId 0 in C:\Ponkarthik\Poc\BenchMark\TestBenchMark\TestBenchMark\bin\Release\netcoreapp3.1\98a828a1-d59e-43bc-8059-8178fb887a77\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.13 (CoreCLR 4.700.21.11102, CoreFX 4.700.21.11602), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 268900.00 ns, 268.9000 us/op
WorkloadJitting  1: 1 op, 7663000.00 ns, 7.6630 ms/op

OverheadJitting  2: 16 op, 206100.00 ns, 12.8812 us/op
WorkloadJitting  2: 16 op, 110653700.00 ns, 6.9159 ms/op

WorkloadPilot    1: 16 op, 113029400.00 ns, 7.0643 ms/op
WorkloadPilot    2: 32 op, 227887700.00 ns, 7.1215 ms/op
WorkloadPilot    3: 64 op, 460738700.00 ns, 7.1990 ms/op
WorkloadPilot    4: 128 op, 944831800.00 ns, 7.3815 ms/op

OverheadWarmup   1: 128 op, 2900.00 ns, 22.6562 ns/op
OverheadWarmup   2: 128 op, 600.00 ns, 4.6875 ns/op
OverheadWarmup   3: 128 op, 500.00 ns, 3.9062 ns/op
OverheadWarmup   4: 128 op, 600.00 ns, 4.6875 ns/op
OverheadWarmup   5: 128 op, 700.00 ns, 5.4688 ns/op
OverheadWarmup   6: 128 op, 500.00 ns, 3.9062 ns/op
OverheadWarmup   7: 128 op, 600.00 ns, 4.6875 ns/op
OverheadWarmup   8: 128 op, 600.00 ns, 4.6875 ns/op

OverheadActual   1: 128 op, 500.00 ns, 3.9062 ns/op
OverheadActual   2: 128 op, 700.00 ns, 5.4688 ns/op
OverheadActual   3: 128 op, 1300.00 ns, 10.1562 ns/op
OverheadActual   4: 128 op, 700.00 ns, 5.4688 ns/op
OverheadActual   5: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual   6: 128 op, 500.00 ns, 3.9062 ns/op
OverheadActual   7: 128 op, 500.00 ns, 3.9062 ns/op
OverheadActual   8: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual   9: 128 op, 500.00 ns, 3.9062 ns/op
OverheadActual  10: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual  11: 128 op, 500.00 ns, 3.9062 ns/op
OverheadActual  12: 128 op, 700.00 ns, 5.4688 ns/op
OverheadActual  13: 128 op, 500.00 ns, 3.9062 ns/op
OverheadActual  14: 128 op, 700.00 ns, 5.4688 ns/op
OverheadActual  15: 128 op, 500.00 ns, 3.9062 ns/op
OverheadActual  16: 128 op, 500.00 ns, 3.9062 ns/op
OverheadActual  17: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual  18: 128 op, 700.00 ns, 5.4688 ns/op
OverheadActual  19: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual  20: 128 op, 500.00 ns, 3.9062 ns/op

WorkloadWarmup   1: 128 op, 930137200.00 ns, 7.2667 ms/op
WorkloadWarmup   2: 128 op, 927011500.00 ns, 7.2423 ms/op
WorkloadWarmup   3: 128 op, 930952600.00 ns, 7.2731 ms/op
WorkloadWarmup   4: 128 op, 929629400.00 ns, 7.2627 ms/op
WorkloadWarmup   5: 128 op, 928025900.00 ns, 7.2502 ms/op
WorkloadWarmup   6: 128 op, 954814700.00 ns, 7.4595 ms/op
WorkloadWarmup   7: 128 op, 968212900.00 ns, 7.5642 ms/op
WorkloadWarmup   8: 128 op, 935276000.00 ns, 7.3068 ms/op

// BeforeActualRun
WorkloadActual   1: 128 op, 962333900.00 ns, 7.5182 ms/op
WorkloadActual   2: 128 op, 997535500.00 ns, 7.7932 ms/op
WorkloadActual   3: 128 op, 944829300.00 ns, 7.3815 ms/op
WorkloadActual   4: 128 op, 910384100.00 ns, 7.1124 ms/op
WorkloadActual   5: 128 op, 925124800.00 ns, 7.2275 ms/op
WorkloadActual   6: 128 op, 955085300.00 ns, 7.4616 ms/op
WorkloadActual   7: 128 op, 941143500.00 ns, 7.3527 ms/op
WorkloadActual   8: 128 op, 937625000.00 ns, 7.3252 ms/op
WorkloadActual   9: 128 op, 1001851300.00 ns, 7.8270 ms/op
WorkloadActual  10: 128 op, 1002885300.00 ns, 7.8350 ms/op
WorkloadActual  11: 128 op, 977186300.00 ns, 7.6343 ms/op
WorkloadActual  12: 128 op, 929924500.00 ns, 7.2650 ms/op
WorkloadActual  13: 128 op, 931558900.00 ns, 7.2778 ms/op
WorkloadActual  14: 128 op, 947069000.00 ns, 7.3990 ms/op
WorkloadActual  15: 128 op, 920605400.00 ns, 7.1922 ms/op
WorkloadActual  16: 128 op, 922587500.00 ns, 7.2077 ms/op
WorkloadActual  17: 128 op, 923607900.00 ns, 7.2157 ms/op
WorkloadActual  18: 128 op, 916021900.00 ns, 7.1564 ms/op
WorkloadActual  19: 128 op, 940900700.00 ns, 7.3508 ms/op
WorkloadActual  20: 128 op, 951280300.00 ns, 7.4319 ms/op
WorkloadActual  21: 128 op, 931966900.00 ns, 7.2810 ms/op
WorkloadActual  22: 128 op, 1037176300.00 ns, 8.1029 ms/op
WorkloadActual  23: 128 op, 941450000.00 ns, 7.3551 ms/op
WorkloadActual  24: 128 op, 956794800.00 ns, 7.4750 ms/op
WorkloadActual  25: 128 op, 936341300.00 ns, 7.3152 ms/op

// AfterActualRun
WorkloadResult   1: 128 op, 962333300.00 ns, 7.5182 ms/op
WorkloadResult   2: 128 op, 944828700.00 ns, 7.3815 ms/op
WorkloadResult   3: 128 op, 910383500.00 ns, 7.1124 ms/op
WorkloadResult   4: 128 op, 925124200.00 ns, 7.2275 ms/op
WorkloadResult   5: 128 op, 955084700.00 ns, 7.4616 ms/op
WorkloadResult   6: 128 op, 941142900.00 ns, 7.3527 ms/op
WorkloadResult   7: 128 op, 937624400.00 ns, 7.3252 ms/op
WorkloadResult   8: 128 op, 977185700.00 ns, 7.6343 ms/op
WorkloadResult   9: 128 op, 929923900.00 ns, 7.2650 ms/op
WorkloadResult  10: 128 op, 931558300.00 ns, 7.2778 ms/op
WorkloadResult  11: 128 op, 947068400.00 ns, 7.3990 ms/op
WorkloadResult  12: 128 op, 920604800.00 ns, 7.1922 ms/op
WorkloadResult  13: 128 op, 922586900.00 ns, 7.2077 ms/op
WorkloadResult  14: 128 op, 923607300.00 ns, 7.2157 ms/op
WorkloadResult  15: 128 op, 916021300.00 ns, 7.1564 ms/op
WorkloadResult  16: 128 op, 940900100.00 ns, 7.3508 ms/op
WorkloadResult  17: 128 op, 951279700.00 ns, 7.4319 ms/op
WorkloadResult  18: 128 op, 931966300.00 ns, 7.2810 ms/op
WorkloadResult  19: 128 op, 941449400.00 ns, 7.3551 ms/op
WorkloadResult  20: 128 op, 956794200.00 ns, 7.4750 ms/op
WorkloadResult  21: 128 op, 936340700.00 ns, 7.3152 ms/op
GC:  252 252 252 1073804000 128
Threading:  2 0 128

// AfterAll
// Benchmark Process 51028 has exited with code 0

Mean = 7.330 ms, StdErr = 0.028 ms (0.38%), N = 21, StdDev = 0.129 ms
Min = 7.112 ms, Q1 = 7.228 ms, Median = 7.325 ms, Q3 = 7.399 ms, Max = 7.634 ms
IQR = 0.171 ms, LowerFence = 6.970 ms, UpperFence = 7.656 ms
ConfidenceInterval = [7.222 ms; 7.438 ms] (CI 99.9%), Margin = 0.108 ms (1.47% of Mean)
Skewness = 0.41, Kurtosis = 2.57, MValue = 2

// **************************
// Benchmark: CollectionsAddBenchMark.HashSetTestInt: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "98a828a1-d59e-43bc-8059-8178fb887a77.dll" --benchmarkName "TestBenchMark.CollectionsAddBenchMark.HashSetTestInt" --job "Default" --benchmarkId 1 in C:\Ponkarthik\Poc\BenchMark\TestBenchMark\TestBenchMark\bin\Release\netcoreapp3.1\98a828a1-d59e-43bc-8059-8178fb887a77\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.13 (CoreCLR 4.700.21.11102, CoreFX 4.700.21.11602), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 270600.00 ns, 270.6000 us/op
WorkloadJitting  1: 1 op, 32123700.00 ns, 32.1237 ms/op

OverheadJitting  2: 16 op, 230200.00 ns, 14.3875 us/op
WorkloadJitting  2: 16 op, 478827000.00 ns, 29.9267 ms/op

WorkloadPilot    1: 16 op, 407137200.00 ns, 25.4461 ms/op
WorkloadPilot    2: 32 op, 856781600.00 ns, 26.7744 ms/op

OverheadWarmup   1: 32 op, 2900.00 ns, 90.6250 ns/op
OverheadWarmup   2: 32 op, 800.00 ns, 25.0000 ns/op
OverheadWarmup   3: 32 op, 400.00 ns, 12.5000 ns/op
OverheadWarmup   4: 32 op, 500.00 ns, 15.6250 ns/op
OverheadWarmup   5: 32 op, 500.00 ns, 15.6250 ns/op
OverheadWarmup   6: 32 op, 400.00 ns, 12.5000 ns/op
OverheadWarmup   7: 32 op, 400.00 ns, 12.5000 ns/op

OverheadActual   1: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual   2: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual   3: 32 op, 400.00 ns, 12.5000 ns/op
OverheadActual   4: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual   5: 32 op, 600.00 ns, 18.7500 ns/op
OverheadActual   6: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual   7: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual   8: 32 op, 700.00 ns, 21.8750 ns/op
OverheadActual   9: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual  10: 32 op, 400.00 ns, 12.5000 ns/op
OverheadActual  11: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual  12: 32 op, 400.00 ns, 12.5000 ns/op
OverheadActual  13: 32 op, 400.00 ns, 12.5000 ns/op
OverheadActual  14: 32 op, 400.00 ns, 12.5000 ns/op
OverheadActual  15: 32 op, 400.00 ns, 12.5000 ns/op
OverheadActual  16: 32 op, 400.00 ns, 12.5000 ns/op
OverheadActual  17: 32 op, 300.00 ns, 9.3750 ns/op
OverheadActual  18: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual  19: 32 op, 400.00 ns, 12.5000 ns/op
OverheadActual  20: 32 op, 300.00 ns, 9.3750 ns/op

WorkloadWarmup   1: 32 op, 799450300.00 ns, 24.9828 ms/op
WorkloadWarmup   2: 32 op, 805836400.00 ns, 25.1824 ms/op
WorkloadWarmup   3: 32 op, 846518700.00 ns, 26.4537 ms/op
WorkloadWarmup   4: 32 op, 792241700.00 ns, 24.7576 ms/op
WorkloadWarmup   5: 32 op, 795079700.00 ns, 24.8462 ms/op
WorkloadWarmup   6: 32 op, 777558200.00 ns, 24.2987 ms/op

// BeforeActualRun
WorkloadActual   1: 32 op, 817630300.00 ns, 25.5509 ms/op
WorkloadActual   2: 32 op, 805877400.00 ns, 25.1837 ms/op
WorkloadActual   3: 32 op, 911504900.00 ns, 28.4845 ms/op
WorkloadActual   4: 32 op, 917444700.00 ns, 28.6701 ms/op
WorkloadActual   5: 32 op, 972320100.00 ns, 30.3850 ms/op
WorkloadActual   6: 32 op, 843437300.00 ns, 26.3574 ms/op
WorkloadActual   7: 32 op, 814063800.00 ns, 25.4395 ms/op
WorkloadActual   8: 32 op, 906353100.00 ns, 28.3235 ms/op
WorkloadActual   9: 32 op, 1111774400.00 ns, 34.7430 ms/op
WorkloadActual  10: 32 op, 1062985900.00 ns, 33.2183 ms/op
WorkloadActual  11: 32 op, 777555000.00 ns, 24.2986 ms/op
WorkloadActual  12: 32 op, 920190100.00 ns, 28.7559 ms/op
WorkloadActual  13: 32 op, 923651100.00 ns, 28.8641 ms/op
WorkloadActual  14: 32 op, 895078700.00 ns, 27.9712 ms/op
WorkloadActual  15: 32 op, 877986600.00 ns, 27.4371 ms/op
WorkloadActual  16: 32 op, 965090400.00 ns, 30.1591 ms/op
WorkloadActual  17: 32 op, 943221000.00 ns, 29.4757 ms/op
WorkloadActual  18: 32 op, 831703500.00 ns, 25.9907 ms/op
WorkloadActual  19: 32 op, 814285300.00 ns, 25.4464 ms/op
WorkloadActual  20: 32 op, 853927900.00 ns, 26.6852 ms/op
WorkloadActual  21: 32 op, 921695500.00 ns, 28.8030 ms/op
WorkloadActual  22: 32 op, 847546300.00 ns, 26.4858 ms/op
WorkloadActual  23: 32 op, 835716400.00 ns, 26.1161 ms/op
WorkloadActual  24: 32 op, 814680000.00 ns, 25.4587 ms/op
WorkloadActual  25: 32 op, 809307800.00 ns, 25.2909 ms/op
WorkloadActual  26: 32 op, 803596200.00 ns, 25.1124 ms/op
WorkloadActual  27: 32 op, 843751900.00 ns, 26.3672 ms/op
WorkloadActual  28: 32 op, 863591700.00 ns, 26.9872 ms/op
WorkloadActual  29: 32 op, 818637700.00 ns, 25.5824 ms/op
WorkloadActual  30: 32 op, 812720500.00 ns, 25.3975 ms/op
WorkloadActual  31: 32 op, 783529500.00 ns, 24.4853 ms/op
WorkloadActual  32: 32 op, 796142200.00 ns, 24.8794 ms/op
WorkloadActual  33: 32 op, 802114600.00 ns, 25.0661 ms/op
WorkloadActual  34: 32 op, 804203700.00 ns, 25.1314 ms/op
WorkloadActual  35: 32 op, 817632300.00 ns, 25.5510 ms/op
WorkloadActual  36: 32 op, 788496000.00 ns, 24.6405 ms/op
WorkloadActual  37: 32 op, 846890700.00 ns, 26.4653 ms/op
WorkloadActual  38: 32 op, 867054800.00 ns, 27.0955 ms/op
WorkloadActual  39: 32 op, 774102000.00 ns, 24.1907 ms/op
WorkloadActual  40: 32 op, 801753100.00 ns, 25.0548 ms/op
WorkloadActual  41: 32 op, 833810800.00 ns, 26.0566 ms/op
WorkloadActual  42: 32 op, 848492500.00 ns, 26.5154 ms/op
WorkloadActual  43: 32 op, 814607200.00 ns, 25.4565 ms/op
WorkloadActual  44: 32 op, 806921500.00 ns, 25.2163 ms/op
WorkloadActual  45: 32 op, 786768100.00 ns, 24.5865 ms/op
WorkloadActual  46: 32 op, 806126300.00 ns, 25.1914 ms/op
WorkloadActual  47: 32 op, 793225600.00 ns, 24.7883 ms/op
WorkloadActual  48: 32 op, 806991500.00 ns, 25.2185 ms/op
WorkloadActual  49: 32 op, 805917000.00 ns, 25.1849 ms/op
WorkloadActual  50: 32 op, 800031300.00 ns, 25.0010 ms/op
WorkloadActual  51: 32 op, 807897600.00 ns, 25.2468 ms/op
WorkloadActual  52: 32 op, 794125000.00 ns, 24.8164 ms/op
WorkloadActual  53: 32 op, 791940500.00 ns, 24.7481 ms/op
WorkloadActual  54: 32 op, 825374100.00 ns, 25.7929 ms/op
WorkloadActual  55: 32 op, 795213100.00 ns, 24.8504 ms/op
WorkloadActual  56: 32 op, 788406200.00 ns, 24.6377 ms/op
WorkloadActual  57: 32 op, 797031100.00 ns, 24.9072 ms/op
WorkloadActual  58: 32 op, 811825400.00 ns, 25.3695 ms/op
WorkloadActual  59: 32 op, 784272000.00 ns, 24.5085 ms/op
WorkloadActual  60: 32 op, 824166700.00 ns, 25.7552 ms/op
WorkloadActual  61: 32 op, 793318100.00 ns, 24.7912 ms/op
WorkloadActual  62: 32 op, 791305800.00 ns, 24.7283 ms/op
WorkloadActual  63: 32 op, 791497000.00 ns, 24.7343 ms/op
WorkloadActual  64: 32 op, 833810600.00 ns, 26.0566 ms/op
WorkloadActual  65: 32 op, 789090900.00 ns, 24.6591 ms/op
WorkloadActual  66: 32 op, 777368300.00 ns, 24.2928 ms/op
WorkloadActual  67: 32 op, 808684300.00 ns, 25.2714 ms/op
WorkloadActual  68: 32 op, 829488500.00 ns, 25.9215 ms/op
WorkloadActual  69: 32 op, 818887400.00 ns, 25.5902 ms/op
WorkloadActual  70: 32 op, 792298300.00 ns, 24.7593 ms/op
WorkloadActual  71: 32 op, 808749800.00 ns, 25.2734 ms/op

// AfterActualRun
WorkloadResult   1: 32 op, 817629850.00 ns, 25.5509 ms/op
WorkloadResult   2: 32 op, 805876950.00 ns, 25.1837 ms/op
WorkloadResult   3: 32 op, 911504450.00 ns, 28.4845 ms/op
WorkloadResult   4: 32 op, 917444250.00 ns, 28.6701 ms/op
WorkloadResult   5: 32 op, 843436850.00 ns, 26.3574 ms/op
WorkloadResult   6: 32 op, 814063350.00 ns, 25.4395 ms/op
WorkloadResult   7: 32 op, 906352650.00 ns, 28.3235 ms/op
WorkloadResult   8: 32 op, 777554550.00 ns, 24.2986 ms/op
WorkloadResult   9: 32 op, 920189650.00 ns, 28.7559 ms/op
WorkloadResult  10: 32 op, 895078250.00 ns, 27.9712 ms/op
WorkloadResult  11: 32 op, 877986150.00 ns, 27.4371 ms/op
WorkloadResult  12: 32 op, 831703050.00 ns, 25.9907 ms/op
WorkloadResult  13: 32 op, 814284850.00 ns, 25.4464 ms/op
WorkloadResult  14: 32 op, 853927450.00 ns, 26.6852 ms/op
WorkloadResult  15: 32 op, 921695050.00 ns, 28.8030 ms/op
WorkloadResult  16: 32 op, 847545850.00 ns, 26.4858 ms/op
WorkloadResult  17: 32 op, 835715950.00 ns, 26.1161 ms/op
WorkloadResult  18: 32 op, 814679550.00 ns, 25.4587 ms/op
WorkloadResult  19: 32 op, 809307350.00 ns, 25.2909 ms/op
WorkloadResult  20: 32 op, 803595750.00 ns, 25.1124 ms/op
WorkloadResult  21: 32 op, 843751450.00 ns, 26.3672 ms/op
WorkloadResult  22: 32 op, 863591250.00 ns, 26.9872 ms/op
WorkloadResult  23: 32 op, 818637250.00 ns, 25.5824 ms/op
WorkloadResult  24: 32 op, 812720050.00 ns, 25.3975 ms/op
WorkloadResult  25: 32 op, 783529050.00 ns, 24.4853 ms/op
WorkloadResult  26: 32 op, 796141750.00 ns, 24.8794 ms/op
WorkloadResult  27: 32 op, 802114150.00 ns, 25.0661 ms/op
WorkloadResult  28: 32 op, 804203250.00 ns, 25.1314 ms/op
WorkloadResult  29: 32 op, 817631850.00 ns, 25.5510 ms/op
WorkloadResult  30: 32 op, 788495550.00 ns, 24.6405 ms/op
WorkloadResult  31: 32 op, 846890250.00 ns, 26.4653 ms/op
WorkloadResult  32: 32 op, 867054350.00 ns, 27.0954 ms/op
WorkloadResult  33: 32 op, 774101550.00 ns, 24.1907 ms/op
WorkloadResult  34: 32 op, 801752650.00 ns, 25.0548 ms/op
WorkloadResult  35: 32 op, 833810350.00 ns, 26.0566 ms/op
WorkloadResult  36: 32 op, 848492050.00 ns, 26.5154 ms/op
WorkloadResult  37: 32 op, 814606750.00 ns, 25.4565 ms/op
WorkloadResult  38: 32 op, 806921050.00 ns, 25.2163 ms/op
WorkloadResult  39: 32 op, 786767650.00 ns, 24.5865 ms/op
WorkloadResult  40: 32 op, 806125850.00 ns, 25.1914 ms/op
WorkloadResult  41: 32 op, 793225150.00 ns, 24.7883 ms/op
WorkloadResult  42: 32 op, 806991050.00 ns, 25.2185 ms/op
WorkloadResult  43: 32 op, 805916550.00 ns, 25.1849 ms/op
WorkloadResult  44: 32 op, 800030850.00 ns, 25.0010 ms/op
WorkloadResult  45: 32 op, 807897150.00 ns, 25.2468 ms/op
WorkloadResult  46: 32 op, 794124550.00 ns, 24.8164 ms/op
WorkloadResult  47: 32 op, 791940050.00 ns, 24.7481 ms/op
WorkloadResult  48: 32 op, 825373650.00 ns, 25.7929 ms/op
WorkloadResult  49: 32 op, 795212650.00 ns, 24.8504 ms/op
WorkloadResult  50: 32 op, 788405750.00 ns, 24.6377 ms/op
WorkloadResult  51: 32 op, 797030650.00 ns, 24.9072 ms/op
WorkloadResult  52: 32 op, 811824950.00 ns, 25.3695 ms/op
WorkloadResult  53: 32 op, 784271550.00 ns, 24.5085 ms/op
WorkloadResult  54: 32 op, 824166250.00 ns, 25.7552 ms/op
WorkloadResult  55: 32 op, 793317650.00 ns, 24.7912 ms/op
WorkloadResult  56: 32 op, 791305350.00 ns, 24.7283 ms/op
WorkloadResult  57: 32 op, 791496550.00 ns, 24.7343 ms/op
WorkloadResult  58: 32 op, 833810150.00 ns, 26.0566 ms/op
WorkloadResult  59: 32 op, 789090450.00 ns, 24.6591 ms/op
WorkloadResult  60: 32 op, 777367850.00 ns, 24.2927 ms/op
