// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Ponkarthik\Poc\BenchMark\TestBenchMark\TestBenchMark\bin\Release\netcoreapp3.1\3b21159d-06f4-4471-a890-847287975f31
// command took 1.46s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Ponkarthik\Poc\BenchMark\TestBenchMark\TestBenchMark\bin\Release\netcoreapp3.1\3b21159d-06f4-4471-a890-847287975f31
// command took 2.53s and exited with 0
// ***** Done, took 00:00:04 (4.09 sec)   *****
// Found 3 benchmarks:
//   CollectionsAddBenchMark.ListTestInt: DefaultJob
//   CollectionsAddBenchMark.HashSetTestInt: DefaultJob
//   CollectionsAddBenchMark.DictTestInt: DefaultJob

// **************************
// Benchmark: CollectionsAddBenchMark.ListTestInt: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "3b21159d-06f4-4471-a890-847287975f31.dll" --benchmarkName "TestBenchMark.CollectionsAddBenchMark.ListTestInt" --job "Default" --benchmarkId 0 in C:\Ponkarthik\Poc\BenchMark\TestBenchMark\TestBenchMark\bin\Release\netcoreapp3.1\3b21159d-06f4-4471-a890-847287975f31\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.13 (CoreCLR 4.700.21.11102, CoreFX 4.700.21.11602), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 267000.00 ns, 267.0000 us/op
WorkloadJitting  1: 1 op, 8048500.00 ns, 8.0485 ms/op

OverheadJitting  2: 16 op, 208400.00 ns, 13.0250 us/op
WorkloadJitting  2: 16 op, 114927700.00 ns, 7.1830 ms/op

WorkloadPilot    1: 16 op, 111558100.00 ns, 6.9724 ms/op
WorkloadPilot    2: 32 op, 228865200.00 ns, 7.1520 ms/op
WorkloadPilot    3: 64 op, 461633700.00 ns, 7.2130 ms/op
WorkloadPilot    4: 128 op, 909998100.00 ns, 7.1094 ms/op

OverheadWarmup   1: 128 op, 3200.00 ns, 25.0000 ns/op
OverheadWarmup   2: 128 op, 500.00 ns, 3.9062 ns/op
OverheadWarmup   3: 128 op, 700.00 ns, 5.4688 ns/op
OverheadWarmup   4: 128 op, 600.00 ns, 4.6875 ns/op
OverheadWarmup   5: 128 op, 500.00 ns, 3.9062 ns/op
OverheadWarmup   6: 128 op, 400.00 ns, 3.1250 ns/op
OverheadWarmup   7: 128 op, 400.00 ns, 3.1250 ns/op
OverheadWarmup   8: 128 op, 500.00 ns, 3.9062 ns/op

OverheadActual   1: 128 op, 500.00 ns, 3.9062 ns/op
OverheadActual   2: 128 op, 500.00 ns, 3.9062 ns/op
OverheadActual   3: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual   4: 128 op, 500.00 ns, 3.9062 ns/op
OverheadActual   5: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual   6: 128 op, 500.00 ns, 3.9062 ns/op
OverheadActual   7: 128 op, 500.00 ns, 3.9062 ns/op
OverheadActual   8: 128 op, 500.00 ns, 3.9062 ns/op
OverheadActual   9: 128 op, 700.00 ns, 5.4688 ns/op
OverheadActual  10: 128 op, 500.00 ns, 3.9062 ns/op
OverheadActual  11: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual  12: 128 op, 500.00 ns, 3.9062 ns/op
OverheadActual  13: 128 op, 700.00 ns, 5.4688 ns/op
OverheadActual  14: 128 op, 700.00 ns, 5.4688 ns/op
OverheadActual  15: 128 op, 500.00 ns, 3.9062 ns/op
OverheadActual  16: 128 op, 700.00 ns, 5.4688 ns/op
OverheadActual  17: 128 op, 500.00 ns, 3.9062 ns/op
OverheadActual  18: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual  19: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual  20: 128 op, 500.00 ns, 3.9062 ns/op

WorkloadWarmup   1: 128 op, 884923400.00 ns, 6.9135 ms/op
WorkloadWarmup   2: 128 op, 911818800.00 ns, 7.1236 ms/op
WorkloadWarmup   3: 128 op, 890454900.00 ns, 6.9567 ms/op
WorkloadWarmup   4: 128 op, 903806600.00 ns, 7.0610 ms/op
WorkloadWarmup   5: 128 op, 895541700.00 ns, 6.9964 ms/op
WorkloadWarmup   6: 128 op, 907530800.00 ns, 7.0901 ms/op

// BeforeActualRun
WorkloadActual   1: 128 op, 907832700.00 ns, 7.0924 ms/op
WorkloadActual   2: 128 op, 896669900.00 ns, 7.0052 ms/op
WorkloadActual   3: 128 op, 901742500.00 ns, 7.0449 ms/op
WorkloadActual   4: 128 op, 899449100.00 ns, 7.0269 ms/op
WorkloadActual   5: 128 op, 895752000.00 ns, 6.9981 ms/op
WorkloadActual   6: 128 op, 870012200.00 ns, 6.7970 ms/op
WorkloadActual   7: 128 op, 875238000.00 ns, 6.8378 ms/op
WorkloadActual   8: 128 op, 868057800.00 ns, 6.7817 ms/op
WorkloadActual   9: 128 op, 905388500.00 ns, 7.0733 ms/op
WorkloadActual  10: 128 op, 867834500.00 ns, 6.7800 ms/op
WorkloadActual  11: 128 op, 885301800.00 ns, 6.9164 ms/op
WorkloadActual  12: 128 op, 905486200.00 ns, 7.0741 ms/op
WorkloadActual  13: 128 op, 882021800.00 ns, 6.8908 ms/op
WorkloadActual  14: 128 op, 893897100.00 ns, 6.9836 ms/op
WorkloadActual  15: 128 op, 900070000.00 ns, 7.0318 ms/op

