// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Ponkarthik\Poc\BenchMark\TestBenchMark\TestBenchMark\bin\Release\netcoreapp3.1\3ae5a00f-880a-4fab-a325-c619ab50118c
// command took 1.5s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Ponkarthik\Poc\BenchMark\TestBenchMark\TestBenchMark\bin\Release\netcoreapp3.1\3ae5a00f-880a-4fab-a325-c619ab50118c
// command took 2.64s and exited with 0
// ***** Done, took 00:00:04 (4.25 sec)   *****
// Found 6 benchmarks:
//   CollectionsAddBenchMark.ListAddInt: DefaultJob
//   CollectionsAddBenchMark.HashSetAddInt: DefaultJob
//   CollectionsAddBenchMark.DictAddInt: DefaultJob
//   CollectionsAddBenchMark.ListAddPerson: DefaultJob
//   CollectionsAddBenchMark.HashSetAddPerson: DefaultJob
//   CollectionsAddBenchMark.DictAddPerson: DefaultJob

// **************************
// Benchmark: CollectionsAddBenchMark.ListAddInt: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "3ae5a00f-880a-4fab-a325-c619ab50118c.dll" --benchmarkName "TestBenchMark.CollectionsAddBenchMark.ListAddInt" --job "Default" --benchmarkId 0 in C:\Ponkarthik\Poc\BenchMark\TestBenchMark\TestBenchMark\bin\Release\netcoreapp3.1\3ae5a00f-880a-4fab-a325-c619ab50118c\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.13 (CoreCLR 4.700.21.11102, CoreFX 4.700.21.11602), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 283700.00 ns, 283.7000 us/op
WorkloadJitting  1: 1 op, 1427200.00 ns, 1.4272 ms/op

OverheadJitting  2: 16 op, 212600.00 ns, 13.2875 us/op
WorkloadJitting  2: 16 op, 11229600.00 ns, 701.8500 us/op

WorkloadPilot    1: 16 op, 10358400.00 ns, 647.4000 us/op
WorkloadPilot    2: 32 op, 21471500.00 ns, 670.9844 us/op
WorkloadPilot    3: 64 op, 41518900.00 ns, 648.7328 us/op
WorkloadPilot    4: 128 op, 85712100.00 ns, 669.6258 us/op
WorkloadPilot    5: 256 op, 175630400.00 ns, 686.0562 us/op
WorkloadPilot    6: 512 op, 333427300.00 ns, 651.2252 us/op
WorkloadPilot    7: 1024 op, 659217700.00 ns, 643.7673 us/op

OverheadWarmup   1: 1024 op, 4500.00 ns, 4.3945 ns/op
OverheadWarmup   2: 1024 op, 1900.00 ns, 1.8555 ns/op
OverheadWarmup   3: 1024 op, 1900.00 ns, 1.8555 ns/op
OverheadWarmup   4: 1024 op, 1800.00 ns, 1.7578 ns/op
OverheadWarmup   5: 1024 op, 3000.00 ns, 2.9297 ns/op
OverheadWarmup   6: 1024 op, 2300.00 ns, 2.2461 ns/op

OverheadActual   1: 1024 op, 1800.00 ns, 1.7578 ns/op
OverheadActual   2: 1024 op, 1900.00 ns, 1.8555 ns/op
OverheadActual   3: 1024 op, 1900.00 ns, 1.8555 ns/op
OverheadActual   4: 1024 op, 2000.00 ns, 1.9531 ns/op
OverheadActual   5: 1024 op, 2900.00 ns, 2.8320 ns/op
OverheadActual   6: 1024 op, 1800.00 ns, 1.7578 ns/op
OverheadActual   7: 1024 op, 1900.00 ns, 1.8555 ns/op
OverheadActual   8: 1024 op, 1800.00 ns, 1.7578 ns/op
OverheadActual   9: 1024 op, 2600.00 ns, 2.5391 ns/op
OverheadActual  10: 1024 op, 1800.00 ns, 1.7578 ns/op
OverheadActual  11: 1024 op, 2400.00 ns, 2.3438 ns/op
OverheadActual  12: 1024 op, 2700.00 ns, 2.6367 ns/op
OverheadActual  13: 1024 op, 1800.00 ns, 1.7578 ns/op
OverheadActual  14: 1024 op, 1800.00 ns, 1.7578 ns/op
OverheadActual  15: 1024 op, 2700.00 ns, 2.6367 ns/op
OverheadActual  16: 1024 op, 1800.00 ns, 1.7578 ns/op
OverheadActual  17: 1024 op, 2800.00 ns, 2.7344 ns/op
OverheadActual  18: 1024 op, 1900.00 ns, 1.8555 ns/op
OverheadActual  19: 1024 op, 1900.00 ns, 1.8555 ns/op
OverheadActual  20: 1024 op, 2400.00 ns, 2.3438 ns/op

WorkloadWarmup   1: 1024 op, 677764700.00 ns, 661.8796 us/op
WorkloadWarmup   2: 1024 op, 661443100.00 ns, 645.9405 us/op
WorkloadWarmup   3: 1024 op, 660939700.00 ns, 645.4489 us/op
WorkloadWarmup   4: 1024 op, 668044100.00 ns, 652.3868 us/op
WorkloadWarmup   5: 1024 op, 664363300.00 ns, 648.7923 us/op
WorkloadWarmup   6: 1024 op, 656951200.00 ns, 641.5539 us/op
WorkloadWarmup   7: 1024 op, 676406200.00 ns, 660.5529 us/op
WorkloadWarmup   8: 1024 op, 662493200.00 ns, 646.9660 us/op

// BeforeActualRun
WorkloadActual   1: 1024 op, 682287300.00 ns, 666.2962 us/op
WorkloadActual   2: 1024 op, 658264700.00 ns, 642.8366 us/op
WorkloadActual   3: 1024 op, 661543400.00 ns, 646.0385 us/op
WorkloadActual   4: 1024 op, 664252700.00 ns, 648.6843 us/op
WorkloadActual   5: 1024 op, 665361400.00 ns, 649.7670 us/op
WorkloadActual   6: 1024 op, 663402000.00 ns, 647.8535 us/op
WorkloadActual   7: 1024 op, 674141000.00 ns, 658.3408 us/op
WorkloadActual   8: 1024 op, 665042700.00 ns, 649.4558 us/op
WorkloadActual   9: 1024 op, 684663000.00 ns, 668.6162 us/op
WorkloadActual  10: 1024 op, 728849800.00 ns, 711.7674 us/op
WorkloadActual  11: 1024 op, 664709700.00 ns, 649.1306 us/op
WorkloadActual  12: 1024 op, 661785200.00 ns, 646.2746 us/op
WorkloadActual  13: 1024 op, 675920100.00 ns, 660.0782 us/op
WorkloadActual  14: 1024 op, 656379400.00 ns, 640.9955 us/op
WorkloadActual  15: 1024 op, 668524600.00 ns, 652.8561 us/op

// AfterActualRun
WorkloadResult   1: 1024 op, 682285400.00 ns, 666.2943 us/op
WorkloadResult   2: 1024 op, 658262800.00 ns, 642.8348 us/op
WorkloadResult   3: 1024 op, 661541500.00 ns, 646.0366 us/op
WorkloadResult   4: 1024 op, 664250800.00 ns, 648.6824 us/op
WorkloadResult   5: 1024 op, 665359500.00 ns, 649.7651 us/op
WorkloadResult   6: 1024 op, 663400100.00 ns, 647.8517 us/op
WorkloadResult   7: 1024 op, 674139100.00 ns, 658.3390 us/op
