// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Ponkarthik\Poc\BenchMark\TestBenchMark\TestBenchMark\bin\Release\netcoreapp3.1\558d72a9-8d6b-4071-a4c7-a09626224dee
// command took 1.5s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Ponkarthik\Poc\BenchMark\TestBenchMark\TestBenchMark\bin\Release\netcoreapp3.1\558d72a9-8d6b-4071-a4c7-a09626224dee
// command took 2.64s and exited with 0
// ***** Done, took 00:00:04 (4.24 sec)   *****
// Found 6 benchmarks:
//   CollectionsContainsBenchMark.ListContainsInt: DefaultJob
//   CollectionsContainsBenchMark.HashSetContainsInt: DefaultJob
//   CollectionsContainsBenchMark.DictContainsInt: DefaultJob
//   CollectionsContainsBenchMark.ListContainsPerson: DefaultJob
//   CollectionsContainsBenchMark.HashSetContainsPerson: DefaultJob
//   CollectionsContainsBenchMark.DictContainsPerson: DefaultJob

// **************************
// Benchmark: CollectionsContainsBenchMark.ListContainsInt: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "558d72a9-8d6b-4071-a4c7-a09626224dee.dll" --benchmarkName "TestBenchMark.CollectionsContainsBenchMark.ListContainsInt" --job "Default" --benchmarkId 0 in C:\Ponkarthik\Poc\BenchMark\TestBenchMark\TestBenchMark\bin\Release\netcoreapp3.1\558d72a9-8d6b-4071-a4c7-a09626224dee\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.13 (CoreCLR 4.700.21.11102, CoreFX 4.700.21.11602), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 287700.00 ns, 287.7000 us/op
WorkloadJitting  1: 1 op, 217240400.00 ns, 217.2404 ms/op

WorkloadPilot    1: 2 op, 433199900.00 ns, 216.6000 ms/op
WorkloadPilot    2: 3 op, 647110400.00 ns, 215.7035 ms/op

WorkloadWarmup   1: 3 op, 653756000.00 ns, 217.9187 ms/op
WorkloadWarmup   2: 3 op, 653793900.00 ns, 217.9313 ms/op
WorkloadWarmup   3: 3 op, 651704500.00 ns, 217.2348 ms/op
WorkloadWarmup   4: 3 op, 745293700.00 ns, 248.4312 ms/op
WorkloadWarmup   5: 3 op, 692660000.00 ns, 230.8867 ms/op
WorkloadWarmup   6: 3 op, 665425400.00 ns, 221.8085 ms/op

// BeforeActualRun
WorkloadActual   1: 3 op, 708573300.00 ns, 236.1911 ms/op
WorkloadActual   2: 3 op, 695086000.00 ns, 231.6953 ms/op
WorkloadActual   3: 3 op, 649590900.00 ns, 216.5303 ms/op
WorkloadActual   4: 3 op, 667089600.00 ns, 222.3632 ms/op
WorkloadActual   5: 3 op, 673285300.00 ns, 224.4284 ms/op
WorkloadActual   6: 3 op, 671261200.00 ns, 223.7537 ms/op
WorkloadActual   7: 3 op, 647952100.00 ns, 215.9840 ms/op
WorkloadActual   8: 3 op, 674056800.00 ns, 224.6856 ms/op
WorkloadActual   9: 3 op, 658455400.00 ns, 219.4851 ms/op
WorkloadActual  10: 3 op, 654058300.00 ns, 218.0194 ms/op
WorkloadActual  11: 3 op, 645033600.00 ns, 215.0112 ms/op
WorkloadActual  12: 3 op, 650382700.00 ns, 216.7942 ms/op
WorkloadActual  13: 3 op, 661877000.00 ns, 220.6257 ms/op
WorkloadActual  14: 3 op, 658403600.00 ns, 219.4679 ms/op
WorkloadActual  15: 3 op, 666295900.00 ns, 222.0986 ms/op
WorkloadActual  16: 3 op, 645338300.00 ns, 215.1128 ms/op
WorkloadActual  17: 3 op, 981903500.00 ns, 327.3012 ms/op
