// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Ponkarthik\Poc\BenchMark\TestBenchMark\TestBenchMark\bin\Release\netcoreapp3.1\03cd719a-a2f8-4f8b-a802-602a7374bf82
// command took 1.63s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Ponkarthik\Poc\BenchMark\TestBenchMark\TestBenchMark\bin\Release\netcoreapp3.1\03cd719a-a2f8-4f8b-a802-602a7374bf82
// command took 2.8s and exited with 0
// ***** Done, took 00:00:04 (4.53 sec)   *****
// Found 3 benchmarks:
//   CollectionsRemoveBenchMark.ListTestRemove: DefaultJob
//   CollectionsRemoveBenchMark.HashSetTestRemove: DefaultJob
//   CollectionsRemoveBenchMark.DictTestRemove: DefaultJob

// **************************
// Benchmark: CollectionsRemoveBenchMark.ListTestRemove: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "03cd719a-a2f8-4f8b-a802-602a7374bf82.dll" --benchmarkName "TestBenchMark.CollectionsRemoveBenchMark.ListTestRemove" --job "Default" --benchmarkId 0 in C:\Ponkarthik\Poc\BenchMark\TestBenchMark\TestBenchMark\bin\Release\netcoreapp3.1\03cd719a-a2f8-4f8b-a802-602a7374bf82\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.13 (CoreCLR 4.700.21.11102, CoreFX 4.700.21.11602), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 269000.00 ns, 269.0000 us/op
WorkloadJitting  1: 1 op, 33120063300.00 ns, 33.1201 s/op

WorkloadWarmup   1: 1 op, 41861768400.00 ns, 41.8618 s/op
WorkloadWarmup   2: 1 op, 44990054200.00 ns, 44.9901 s/op
WorkloadWarmup   3: 1 op, 47944934000.00 ns, 47.9449 s/op
WorkloadWarmup   4: 1 op, 45042543800.00 ns, 45.0425 s/op
WorkloadWarmup   5: 1 op, 43205005000.00 ns, 43.2050 s/op
WorkloadWarmup   6: 1 op, 54322242600.00 ns, 54.3222 s/op
WorkloadWarmup   7: 1 op, 50193954500.00 ns, 50.1940 s/op

// BeforeActualRun
WorkloadActual   1: 1 op, 47525077500.00 ns, 47.5251 s/op
WorkloadActual   2: 1 op, 51718381500.00 ns, 51.7184 s/op
WorkloadActual   3: 1 op, 40450877600.00 ns, 40.4509 s/op
WorkloadActual   4: 1 op, 40609688900.00 ns, 40.6097 s/op
WorkloadActual   5: 1 op, 41842857600.00 ns, 41.8429 s/op
WorkloadActual   6: 1 op, 41612207300.00 ns, 41.6122 s/op
WorkloadActual   7: 1 op, 38895195300.00 ns, 38.8952 s/op
WorkloadActual   8: 1 op, 39036873800.00 ns, 39.0369 s/op
WorkloadActual   9: 1 op, 39707831700.00 ns, 39.7078 s/op
WorkloadActual  10: 1 op, 39909496000.00 ns, 39.9095 s/op
WorkloadActual  11: 1 op, 38844719100.00 ns, 38.8447 s/op
WorkloadActual  12: 1 op, 38027502800.00 ns, 38.0275 s/op
WorkloadActual  13: 1 op, 39456485400.00 ns, 39.4565 s/op
WorkloadActual  14: 1 op, 40048342500.00 ns, 40.0483 s/op
WorkloadActual  15: 1 op, 38733239200.00 ns, 38.7332 s/op
WorkloadActual  16: 1 op, 40658847200.00 ns, 40.6588 s/op
WorkloadActual  17: 1 op, 41989362300.00 ns, 41.9894 s/op
WorkloadActual  18: 1 op, 42324264300.00 ns, 42.3243 s/op
WorkloadActual  19: 1 op, 43982781700.00 ns, 43.9828 s/op
WorkloadActual  20: 1 op, 43924382800.00 ns, 43.9244 s/op
WorkloadActual  21: 1 op, 43638494300.00 ns, 43.6385 s/op
WorkloadActual  22: 1 op, 43249523800.00 ns, 43.2495 s/op
WorkloadActual  23: 1 op, 44500105500.00 ns, 44.5001 s/op
WorkloadActual  24: 1 op, 45046164200.00 ns, 45.0462 s/op
WorkloadActual  25: 1 op, 46464185900.00 ns, 46.4642 s/op
WorkloadActual  26: 1 op, 45300676900.00 ns, 45.3007 s/op
WorkloadActual  27: 1 op, 43830660000.00 ns, 43.8307 s/op
WorkloadActual  28: 1 op, 44032605100.00 ns, 44.0326 s/op
WorkloadActual  29: 1 op, 43188257800.00 ns, 43.1883 s/op
WorkloadActual  30: 1 op, 45075065400.00 ns, 45.0751 s/op
WorkloadActual  31: 1 op, 47516624900.00 ns, 47.5166 s/op
WorkloadActual  32: 1 op, 44259645300.00 ns, 44.2596 s/op
WorkloadActual  33: 1 op, 45330723200.00 ns, 45.3307 s/op
WorkloadActual  34: 1 op, 43902110200.00 ns, 43.9021 s/op
WorkloadActual  35: 1 op, 44754758800.00 ns, 44.7548 s/op
WorkloadActual  36: 1 op, 43051461200.00 ns, 43.0515 s/op
WorkloadActual  37: 1 op, 44869375900.00 ns, 44.8694 s/op
WorkloadActual  38: 1 op, 43327160900.00 ns, 43.3272 s/op
WorkloadActual  39: 1 op, 49429895300.00 ns, 49.4299 s/op
WorkloadActual  40: 1 op, 50133223000.00 ns, 50.1332 s/op
WorkloadActual  41: 1 op, 46535646100.00 ns, 46.5356 s/op
WorkloadActual  42: 1 op, 38202331600.00 ns, 38.2023 s/op
WorkloadActual  43: 1 op, 37366590200.00 ns, 37.3666 s/op
WorkloadActual  44: 1 op, 37446652900.00 ns, 37.4467 s/op
WorkloadActual  45: 1 op, 37093540000.00 ns, 37.0935 s/op
WorkloadActual  46: 1 op, 36528369600.00 ns, 36.5284 s/op
WorkloadActual  47: 1 op, 36637709700.00 ns, 36.6377 s/op
WorkloadActual  48: 1 op, 36756798700.00 ns, 36.7568 s/op
WorkloadActual  49: 1 op, 36297187600.00 ns, 36.2972 s/op
WorkloadActual  50: 1 op, 36615339900.00 ns, 36.6153 s/op
WorkloadActual  51: 1 op, 36521383600.00 ns, 36.5214 s/op
WorkloadActual  52: 1 op, 36461876000.00 ns, 36.4619 s/op
WorkloadActual  53: 1 op, 36691792800.00 ns, 36.6918 s/op
WorkloadActual  54: 1 op, 36597779800.00 ns, 36.5978 s/op
WorkloadActual  55: 1 op, 36555120900.00 ns, 36.5551 s/op
WorkloadActual  56: 1 op, 36860615300.00 ns, 36.8606 s/op
