// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Ponkarthik\Poc\BenchMark\TestBenchMark\TestBenchMark\bin\Release\netcoreapp3.1\b69754db-e9fc-4e50-adec-9287ae14e1cf
// command took 1.51s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Ponkarthik\Poc\BenchMark\TestBenchMark\TestBenchMark\bin\Release\netcoreapp3.1\b69754db-e9fc-4e50-adec-9287ae14e1cf
// command took 3.1s and exited with 0
// ***** Done, took 00:00:04 (4.63 sec)   *****
// Found 6 benchmarks:
//   CollectionsRemoveBenchMark.ListRemoveInt: DefaultJob
//   CollectionsRemoveBenchMark.HashSetRemoveInt: DefaultJob
//   CollectionsRemoveBenchMark.DictRemoveInt: DefaultJob
//   CollectionsRemoveBenchMark.ListRemovePerson: DefaultJob
//   CollectionsRemoveBenchMark.HashSetRemovePerson: DefaultJob
//   CollectionsRemoveBenchMark.DictRemovePerson: DefaultJob

// **************************
// Benchmark: CollectionsRemoveBenchMark.ListRemoveInt: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "b69754db-e9fc-4e50-adec-9287ae14e1cf.dll" --benchmarkName "TestBenchMark.CollectionsRemoveBenchMark.ListRemoveInt" --job "Default" --benchmarkId 0 in C:\Ponkarthik\Poc\BenchMark\TestBenchMark\TestBenchMark\bin\Release\netcoreapp3.1\b69754db-e9fc-4e50-adec-9287ae14e1cf\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.13 (CoreCLR 4.700.21.11102, CoreFX 4.700.21.11602), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 275000.00 ns, 275.0000 us/op
WorkloadJitting  1: 1 op, 303761600.00 ns, 303.7616 ms/op

WorkloadPilot    1: 2 op, 753745300.00 ns, 376.8727 ms/op

WorkloadWarmup   1: 2 op, 788281100.00 ns, 394.1406 ms/op
WorkloadWarmup   2: 2 op, 794525900.00 ns, 397.2629 ms/op
WorkloadWarmup   3: 2 op, 766425100.00 ns, 383.2126 ms/op
WorkloadWarmup   4: 2 op, 771554700.00 ns, 385.7774 ms/op
WorkloadWarmup   5: 2 op, 727514300.00 ns, 363.7572 ms/op
WorkloadWarmup   6: 2 op, 719014000.00 ns, 359.5070 ms/op

// BeforeActualRun
WorkloadActual   1: 2 op, 706148300.00 ns, 353.0741 ms/op
WorkloadActual   2: 2 op, 695546900.00 ns, 347.7735 ms/op
WorkloadActual   3: 2 op, 692989700.00 ns, 346.4948 ms/op
WorkloadActual   4: 2 op, 692152800.00 ns, 346.0764 ms/op
WorkloadActual   5: 2 op, 701787600.00 ns, 350.8938 ms/op
WorkloadActual   6: 2 op, 693291400.00 ns, 346.6457 ms/op
WorkloadActual   7: 2 op, 693686100.00 ns, 346.8431 ms/op
WorkloadActual   8: 2 op, 690338100.00 ns, 345.1691 ms/op
WorkloadActual   9: 2 op, 689505000.00 ns, 344.7525 ms/op
WorkloadActual  10: 2 op, 685460000.00 ns, 342.7300 ms/op
WorkloadActual  11: 2 op, 691095000.00 ns, 345.5475 ms/op
WorkloadActual  12: 2 op, 691148200.00 ns, 345.5741 ms/op
WorkloadActual  13: 2 op, 689277600.00 ns, 344.6388 ms/op
WorkloadActual  14: 2 op, 690618700.00 ns, 345.3093 ms/op
WorkloadActual  15: 2 op, 687153400.00 ns, 343.5767 ms/op

// AfterActualRun
WorkloadResult   1: 2 op, 695546900.00 ns, 347.7735 ms/op
WorkloadResult   2: 2 op, 692989700.00 ns, 346.4948 ms/op
WorkloadResult   3: 2 op, 692152800.00 ns, 346.0764 ms/op
WorkloadResult   4: 2 op, 693291400.00 ns, 346.6457 ms/op
